"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","m_return","m_return_numeric"
"1",24431,"KL_2022","2",4,-0.0110132158590308,0.000121290923557608,-0.327094606,"mast","high predator",0.968940862,3,"n",0
"2",12082,"AG_2016","1",2,2.98898678414097,8.93404199576937,-0.478456974,"nonmast","low predator",-1.822521916,0,"n",0
"3",20182,"AG_2016","2",3,-0.0110132158590308,0.000121290923557608,-0.478456974,"nonmast","low predator",-1.124656221,1,"n",0
"4",19275,"AG_2016","1",3,1.98898678414097,3.95606842748743,-0.478456974,"nonmast","low predator",1.064104366,0,"n",0
"5",20051,"AG_2016","2",4,-1.01101321585903,1.02214772264162,1.682964041,"nonmast","low predator",-0.68055987,0,"n",0
"6",20051,"AG_2016","1",4,-1.01101321585903,1.02214772264162,-0.478456974,"nonmast","low predator",-0.68055987,0,"n",0
"7",20863,"AG_2016","2",3,-0.0110132158590308,0.000121290923557608,-0.478456974,"nonmast","low predator",-1.537031404,0,"n",0
"8",12269,"AG_2016","2",3,0.988986784140969,0.978094859205496,2.318676105,"nonmast","low predator",-0.648838702,1,"n",0
"9",11737,"AG_2016","2",4,3.98898678414097,15.9120155640513,-0.478456974,"nonmast","low predator",-1.251540893,1,"n",0
"10",13267,"AG_2016","2",3,0.988986784140969,0.978094859205496,-0.478456974,"nonmast","low predator",-1.505310236,0,"n",0
"11",20166,"AG_2016","2",3,-1.01101321585903,1.02214772264162,2.318676105,"nonmast","low predator",-0.902608046,1,"n",0
"12",20166,"AG_2016","1",3,-1.01101321585903,1.02214772264162,-0.478456974,"nonmast","low predator",-0.902608046,1,"n",0
"13",12837,"AG_2016","1",3,0.988986784140969,0.978094859205496,-0.478456974,"nonmast","low predator",-1.251540893,1,"n",0
"14",13023,"AG_2016","2",2,2.98898678414097,8.93404199576937,-0.478456974,"nonmast","low predator",-1.4418679,1,"n",0
"15",13215,"AG_2016","2",3,1.98898678414097,3.95606842748743,-0.478456974,"nonmast","low predator",-1.4418679,1,"n",0
"16",12939,"AG_2016","2",2,0.988986784140969,0.978094859205496,1.174394391,"nonmast","low predator",-1.061213885,0,"y",1
"17",20863,"AG_2016","1",3,-1.01101321585903,1.02214772264162,-0.478456974,"nonmast","low predator",-1.537031404,0,"y",1
"18",19334,"AG_2016","1",3,-0.0110132158590308,0.000121290923557608,-0.478456974,"nonmast","low predator",-1.283262061,0,"y",1
"19",12269,"AG_2016","1",3,0.988986784140969,0.978094859205496,-0.478456974,"nonmast","low predator",-0.648838702,1,"y",1
"20",11737,"AG_2016","1",4,2.98898678414097,8.93404199576937,-0.478456974,"nonmast","low predator",-1.251540893,1,"y",1
"21",19925,"AG_2016","2",3,-1.01101321585903,1.02214772264162,-0.478456974,"nonmast","low predator",-1.410146732,0,"y",1
"22",19925,"AG_2016","1",3,-1.01101321585903,1.02214772264162,-0.478456974,"nonmast","low predator",-1.410146732,0,"y",1
"23",12604,"AG_2016","2",1,2.98898678414097,8.93404199576937,2.700103342,"nonmast","low predator",-1.219819725,0,"y",1
"24",13267,"AG_2016","1",3,0.988986784140969,0.978094859205496,-0.478456974,"nonmast","low predator",-1.505310236,0,"y",1
"25",20231,"AG_2016","1",3,-1.01101321585903,1.02214772264162,-0.478456974,"nonmast","low predator",-0.712281038,0,"y",1
"26",11059,"AG_2016","1",1,3.98898678414097,15.9120155640513,-0.478456974,"nonmast","low predator",-1.822521916,0,"y",1
"27",21246,"AG_2016","1",2,-1.01101321585903,1.02214772264162,-0.478456974,"nonmast","low predator",-0.775723374,1,"y",1
"28",12837,"AG_2016","2",3,0.988986784140969,0.978094859205496,-0.478456974,"nonmast","low predator",-1.251540893,1,"y",1
"29",13023,"AG_2016","1",2,1.98898678414097,3.95606842748743,-0.478456974,"nonmast","low predator",-1.4418679,1,"y",1
"30",19404,"AG_2016","2",1,-0.0110132158590308,0.000121290923557608,2.57296093,"nonmast","low predator",-0.870886878,0,"y",1
