"","squirrel_id","LRS","mast_encounter","mast_encounter1","exp","observations","scaled_long","scaled_lat","percent_return"
"1",8297,2,0,"no",0,2,-0.953811055,-0.628358175,100
"2",8330,3,0,"no",0,1,-0.445944276,0.941763647,50
"3",8385,0,0,"no",0,1,-1.547578149,0.941763647,0
"4",8572,2,0,"no",0,2,-0.464028553,-1.093892947,100
"5",8576,11,1,"yes",0,1,0.220159926,-1.597516927,100
"6",8592,0,0,"no",0,1,-0.334424568,0.391586189,100
"7",8648,2,0,"no",0,3,-0.456493438,-0.993732435,66.66666667
"8",8680,0,0,"no",0,1,-1.524972803,-2.53705074,100
"9",8727,8,1,"yes",0,1,0.284961918,0.941763647,0
"10",8732,0,0,"no",0,1,-1.443593556,-2.342372562,100
"11",10131,6,0,"no",0,1,-0.014935675,0.941763647,0
"12",10133,10,0,"no",0,2,0.177963279,-0.476001341,50
"13",10137,3,0,"no",0,1,0.105626171,0.941763647,25
"14",10140,5,0,"no",0,1,0.126724494,0.941763647,0
"15",10145,4,0,"no",0,3,-0.396212515,-0.483054898,66.66666667
"16",10160,8,0,"no",0,2,0.556226073,-0.006234434,100
"17",10181,15,0,"no",0,3,0.025753948,-2.322622602,100
"18",10184,1,0,"yes",0,1,0.700900289,0.941763647,0
"19",10191,23,0,"yes",0,2,1.903504708,-1.851444985,100
"20",10265,5,0,"no",0,4,-0.560478031,-1.026178798,75
"21",10317,0,0,"no",0,3,-0.320861361,-0.365965849,50
"22",10318,19,0,"yes",0,4,1.883913407,-2.022846424,100
"23",10342,18,0,"yes",0,3,2.28628857,-0.94858967,66.66666667
"24",10374,9,0,"yes",0,1,2.414385532,0.755549738,100
"25",10375,11,0,"yes",0,3,0.637605319,-0.37231405,50
"26",10391,5,0,"yes",0,4,-0.326889453,-0.975393187,100
"27",10408,3,0,"no",0,2,-0.98093747,0.137658131,33.33333333
"28",10461,0,0,"no",0,1,-0.976416401,-1.724480956,100
"29",10657,1,0,"no",0,2,-0.601167654,0.433907532,50
"30",10686,34,0,"yes",0,1,0.119189379,0.941763647,0
"31",10722,1,0,"no",0,1,-1.109034432,-0.878054098,100
"32",10746,0,0,"yes",0,1,-0.756391031,0.941763647,0
"33",10748,0,0,"no",0,3,-0.98545854,-0.389947943,66.66666667
"34",10754,1,0,"no",0,2,-1.329059802,0.433907532,50
"35",10759,0,0,"no",0,1,-1.439072487,0.543943023,100
"36",10818,16,0,"yes",0,1,-0.338945638,0.941763647,0
"37",11020,0,0,"no",0,1,0.292497033,0.941763647,0
"38",11059,22,0,"yes",1,1,1.897476615,0.518550218,100
"39",11177,0,0,"no",0,2,-1.404410956,0.450836069,50
"40",11256,28,0,"yes",0,1,1.906518754,0.941763647,0
"41",11576,7,0,"yes",0,2,2.123530077,-0.010466569,100
"42",11678,10,0,"yes",0,1,2.464117294,-2.063051699,100
"43",11720,1,0,"yes",0,1,1.336864029,0.941763647,50
"44",11726,3,0,"yes",0,2,1.26904799,-2.130765848,100
"45",11737,14,0,"yes",1,3,1.816097369,-0.708768727,75
"46",11775,26,0,"yes",0,1,1.739239192,0.941763647,0
"47",11976,12,0,"yes",0,1,1.799520115,-1.766802299,100
"48",11998,23,0,"yes",0,1,1.222330275,0.941763647,0
"49",12003,3,0,"yes",0,2,1.799520115,0.02762264,33.33333333
"50",12012,2,1,"yes",0,1,1.180133628,-1.005018127,100
"51",12037,3,0,"yes",0,1,1.695535522,0.941763647,0
"52",12082,3,0,"yes",1,1,0.517043473,0.941763647,0
"53",12095,9,0,"yes",1,2,1.722661938,-0.573340429,50
"54",12180,0,0,"yes",0,3,1.446876714,-0.83008991,100
"55",12269,2,1,"yes",1,1,0.286468941,0.941763647,50
"56",12305,8,0,"yes",0,1,1.321793798,0.941763647,0
"57",12318,4,0,"yes",0,1,2.128051147,0.941763647,0
"58",12357,3,0,"yes",0,1,2.399315301,0.941763647,0
"59",12427,0,0,"no",0,1,1.666902084,0.941763647,50
"60",12435,5,0,"yes",0,1,2.135586262,-2.376229637,100
"61",12604,1,0,"yes",1,2,2.131065193,0.369014806,33.33333333
"62",12605,1,0,"yes",1,2,1.707591707,0.865585229,50
"63",12700,2,0,"yes",0,1,0.661717688,0.941763647,0
"64",12731,10,0,"yes",1,2,0.874207943,-0.073948583,100
"65",12837,3,1,"yes",1,2,0.211117787,-0.361733715,50
"66",12939,1,1,"yes",1,3,0.625549134,-1.73858807,100
"67",12972,2,1,"yes",0,2,1.779928815,0.797871081,50
"68",12973,9,0,"yes",0,2,1.368511514,-0.243233955,50
"69",13023,6,0,"yes",1,2,1.834181646,0.433907532,50
"70",13097,1,1,"yes",0,1,1.258498829,0.941763647,0
"71",13140,2,1,"yes",1,2,1.263019898,-1.851444985,100
"72",13208,2,1,"yes",0,4,1.264526921,-0.893289782,80
"73",13215,7,0,"yes",1,1,0.235230156,0.941763647,50
"74",13228,2,1,"yes",0,2,1.28863929,0.277318563,25
"75",13229,3,1,"yes",0,2,1.385088767,-0.459072803,50
"76",13246,6,1,"yes",1,2,0.676787919,-0.670679518,50
"77",13267,0,1,"yes",1,1,0.046852271,0.941763647,50
"78",13268,0,1,"yes",1,1,0.627056158,0.941763647,0
"79",13288,5,1,"yes",0,2,0.131245564,-0.217841149,50
"80",13293,2,1,"yes",0,1,0.806391904,0.941763647,0
"81",13305,9,1,"yes",0,1,0.132752587,-1.707552419,100
"82",13412,12,1,"yes",0,1,0.663224711,0.941763647,0
"83",13438,0,1,"yes",0,1,1.763351561,0.941763647,0
"84",13445,0,0,"no",0,2,1.103275451,0.761897939,25
"85",13450,9,1,"yes",1,1,1.256991806,0.941763647,0
"86",13567,1,1,"yes",1,2,1.143965074,-0.835732755,50
"87",13579,1,1,"yes",1,2,1.26904799,-1.766802299,100
"88",13625,0,1,"yes",1,1,0.63308425,0.941763647,0
"89",13666,18,0,"yes",0,2,-0.307298153,-1.910694865,100
"90",13667,12,0,"yes",0,1,1.737732169,0.941763647,0
"91",19275,3,1,"yes",1,1,0.206596718,0.941763647,50
"92",19308,0,1,"yes",1,2,0.131245564,-1.897998462,100
"93",19311,4,1,"yes",0,2,0.215638856,0.603192903,50
"94",19321,0,1,"yes",0,1,0.214131833,0.433907532,100
"95",19334,2,1,"yes",1,3,0.685830058,-1.024768087,100
"96",19339,2,1,"yes",1,1,0.755153119,0.941763647,0
"97",19398,0,0,"no",1,2,0.152343887,-1.229321244,100
"98",19404,2,1,"yes",1,1,0.800363812,0.306943503,100
"99",19425,1,0,"no",0,2,-0.293734945,0.179979474,50
"100",19432,0,1,"yes",0,3,1.17109149,-0.22418935,50
"101",19509,0,1,"yes",0,1,0.236737179,-1.851444985,100
"102",19550,0,1,"yes",0,1,-0.461014507,-1.622909733,100
"103",19553,2,1,"yes",0,3,0.227695041,-0.156475202,50
"104",19570,1,1,"yes",1,2,0.137273656,-0.691840189,50
"105",19583,2,1,"yes",0,2,0.690351127,-0.890750501,100
"106",19587,0,1,"yes",0,3,0.776251443,0.083486813,40
"107",19589,0,1,"yes",0,2,0.064936548,0.179979474,50
"108",19649,1,1,"yes",0,1,0.822969158,-1.766802299,100
"109",19666,0,0,"no",1,2,0.63308425,0.848656692,50
"110",19707,0,1,"yes",0,1,0.67226685,0.941763647,0
"111",19719,0,1,"yes",0,2,0.80940595,-0.32787664,100
"112",19740,4,1,"yes",0,1,0.618014019,0.941763647,0
"113",19764,0,1,"yes",0,3,1.198217905,-0.35750158,50
"114",19766,2,1,"yes",0,2,0.810912973,-2.228104937,100
"115",19769,4,1,"yes",0,2,-0.417310838,-0.966928918,100
"116",19809,6,1,"yes",0,2,1.157528282,-1.504409973,100
"117",19846,6,1,"yes",0,1,0.765702281,-2.173087191,100
"118",19862,1,1,"yes",0,1,-0.476084738,-1.868373522,100
"119",19907,0,0,"no",1,1,0.176456256,0.941763647,0
"120",19925,0,0,"no",1,2,-0.798587678,-0.230537552,100
"121",19926,3,0,"yes",1,2,0.887771151,0.366193383,50
"122",19962,0,0,"no",1,1,0.060415479,0.941763647,0
"123",19970,0,0,"no",1,1,0.322637495,0.941763647,0
"124",19988,0,1,"yes",1,2,-0.391691446,-0.835732755,50
"125",19989,2,0,"no",1,2,-0.360043961,-0.285555298,50
"126",20005,0,0,"no",1,2,-0.406761676,-0.260162492,100
"127",20014,2,0,"no",1,2,-0.433888092,0.268854294,100
"128",20044,0,0,"no",0,2,-0.441423207,0.583442943,33.33333333
"129",20046,14,0,"yes",0,2,1.100261405,0.123551017,33.33333333
"130",20051,0,0,"no",1,1,-0.430874046,0.941763647,0
"131",20061,0,0,"no",0,4,0.236737179,-0.378662252,75
"132",20079,0,0,"no",0,2,0.09507701,0.208193703,33.33333333
"133",20138,1,0,"no",1,2,0.131245564,0.387354055,50
"134",20163,1,0,"no",1,1,-0.498690084,-1.69908815,100
"135",20166,1,0,"no",1,1,-0.86338967,0.941763647,0
"136",20182,3,0,"no",1,3,0.09507701,-0.748268647,66.66666667
"137",20184,1,0,"no",1,2,0.179470302,0.865585229,50
"138",20191,4,0,"yes",0,4,0.776251443,-0.573340429,75
"139",20225,1,0,"yes",1,3,0.824476181,-0.866768407,66.66666667
"140",20229,0,0,"no",1,1,0.126724494,0.941763647,0
"141",20231,1,0,"no",1,3,0.188512441,-0.973982475,100
"142",20241,0,0,"no",0,1,0.040824179,0.941763647,0
"143",20255,2,0,"no",1,1,0.162893048,0.941763647,0
"144",20265,0,0,"no",0,2,-0.420324884,-1.453624362,100
"145",20281,0,0,"no",14,1,0.217145879,0.941763647,0
"146",20295,2,0,"yes",0,2,0.765702281,-0.018930837,50
"147",20297,0,0,"no",0,1,0.607464857,0.941763647,0
"148",20385,0,0,"no",1,2,0.07548571,-0.222073283,50
"149",20387,1,0,"no",1,2,0.155357933,-0.315180238,100
"150",20388,1,0,"no",1,1,0.226188018,0.941763647,0
"151",20389,1,0,"no",0,3,0.590887604,-1.368981676,100
"152",20409,2,1,"yes",0,2,0.125217471,-1.385910213,100
"153",20415,1,0,"no",1,2,0.202075649,0.666674918,50
"154",20417,0,0,"yes",1,2,0.709942427,-0.349037312,66.66666667
"155",20439,0,0,"no",0,2,0.208103741,-0.708768727,50
"156",20440,0,0,"no",0,3,0.619521042,-0.192448343,75
"157",20474,0,0,"no",1,2,-0.477591761,-0.789179278,100
"158",20475,0,0,"no",1,2,-0.406761676,0.628585709,50
"159",20488,1,0,"yes",15,4,0.675280896,-0.522554818,60
"160",20529,0,0,"no",0,1,0.087541894,0.941763647,0
"161",20537,0,0,"yes",0,2,0.678294942,-0.518322683,100
"162",20566,1,0,"no",1,2,-0.465535577,-1.872605656,100
"163",20630,1,0,"no",1,2,0.220159926,-0.306715969,100
"164",20632,0,0,"no",0,2,-0.471563669,0.433907532,25
"165",20732,0,0,"no",0,2,-0.451972369,-1.292803259,100
"166",20734,0,0,"no",0,2,-0.057132321,0.920602975,50
"167",20760,8,0,"yes",0,4,0.783786558,0.010694103,75
"168",20770,0,0,"no",0,4,0.098091056,-0.641054578,75
"169",20804,0,0,"no",0,1,0.536634773,0.010694103,100
"170",20841,0,0,"no",0,1,-0.379635261,0.941763647,0
"171",20857,5,0,"yes",0,1,1.140951028,0.941763647,0
"172",20863,2,0,"no",1,3,0.618014019,0.158818803,50
"173",20865,0,0,"no",0,2,0.220159926,-1.026178798,100
"174",20867,0,0,"no",0,1,-0.524309477,0.941763647,0
"175",20873,0,0,"no",0,1,-0.494169015,-1.800659373,100
"176",20920,0,0,"no",0,3,0.129738541,-0.302483835,50
"177",20944,1,0,"no",0,1,-0.406761676,0.941763647,0
"178",20977,0,0,"no",1,2,-0.00740056,0.874049498,50
"179",20995,0,0,"no",0,2,-0.358536938,-0.564876161,50
"180",21003,0,0,"no",0,1,-0.557463985,-1.40283875,100
"181",21022,1,0,"yes",0,2,0.732547773,-0.518322683,50
"182",21058,0,0,"no",0,1,-0.546914823,0.941763647,0
"183",21100,0,0,"no",0,1,-0.950797009,0.941763647,0
"184",21128,1,0,"no",1,1,-0.470056646,-0.073948583,100
"185",21137,0,0,"no",0,1,-0.577055285,0.941763647,0
"186",21153,0,0,"no",1,2,0.048359294,0.828906732,33.33333333
"187",21155,1,0,"yes",0,2,0.560747142,0.055836869,33.33333333
"188",21199,0,0,"no",0,2,-0.566506123,0.780942544,50
"189",21227,1,0,"no",0,2,-0.543900777,-1.707552419,100
"190",21246,3,0,"no",1,2,0.563761188,-0.738393667,66.66666667
"191",21263,0,0,"no",0,1,-1.134653825,0.941763647,0
"192",21294,1,0,"no",0,2,0.482381942,-0.416751461,50
"193",21342,1,0,"yes",0,2,1.038473459,-0.044323643,50
"194",21350,1,0,"yes",0,1,0.405523765,0.941763647,0
"195",21354,0,0,"yes",1,1,0.318116426,-0.497162012,100
"196",21359,0,0,"no",0,1,-1.273299948,0.941763647,0
"197",21364,0,0,"no",0,1,-0.929698686,-2.063051699,100
"198",21366,1,0,"no",0,2,-0.720222477,0.349264846,50
"199",21382,0,0,"no",0,2,-0.316340291,-0.581804698,50
"200",21396,0,0,"no",0,2,-0.901065247,0.573567963,25
"201",21414,0,0,"no",1,1,-1.558127311,0.941763647,0
"202",21465,1,0,"yes",15,3,0.313595357,0.57074654,33.33333333
"203",21578,1,0,"yes",0,2,0.351270934,0.455068203,50
"204",21683,1,0,"no",1,2,-1.44057951,0.687835589,50
"205",21904,1,0,"no",1,2,-0.260580437,-1.961480476,100
"206",21907,1,0,"no",0,2,-0.400733584,0.171515206,50
"207",21908,0,0,"no",0,1,-1.011077932,0.32387204,100
"208",21910,0,0,"no",0,3,-0.96586724,-0.097225322,50
"209",21921,0,0,"no",0,1,-0.409775723,0.941763647,0
"210",21924,1,0,"no",1,1,-0.439916184,0.941763647,0
"211",21934,0,0,"no",0,1,0.069457617,0.941763647,0
"212",21935,0,0,"no",0,1,-1.442086533,0.941763647,0
"213",21941,0,0,"no",0,1,-0.4866339,0.941763647,0
"214",21943,0,0,"no",0,1,-1.561141357,0.941763647,0
"215",21944,3,1,"yes",0,1,0.27139871,0.941763647,0
"216",21948,0,0,"no",16,1,-1.062316717,0.941763647,0
"217",21950,0,0,"no",0,2,-1.449621649,-0.213609015,50
"218",21952,1,0,"no",15,3,-0.950797009,0.319639906,50
"219",21953,0,0,"no",0,1,0.089048917,0.941763647,0
"220",21969,1,0,"no",0,1,-0.354015869,0.941763647,0
"221",21970,0,0,"no",0,3,-0.408268699,0.488925278,50
"222",21974,1,0,"no",0,1,-0.530337569,0.941763647,0
"223",21984,1,0,"no",0,4,-0.310312199,-0.023162972,75
"224",21998,0,0,"no",0,3,-0.530337569,0.41274686,50
"225",22005,0,0,"no",1,2,-0.577055285,-1.377445944,100
"226",22007,0,0,"no",1,2,-0.605688723,-0.645286712,100
"227",22008,1,0,"yes",0,2,0.125217471,0.201140146,50
"228",22013,0,0,"no",1,1,-0.920656547,0.941763647,0
"229",22018,2,0,"no",1,2,-0.744334847,-0.539483355,50
"230",22024,0,0,"no",1,2,-0.898051201,0.095336789,50
"231",22031,1,0,"no",0,2,-1.350158125,0.890978035,50
"232",22035,0,0,"no",1,1,-1.451128672,0.941763647,0
"233",22059,1,0,"no",1,2,-0.898051201,-0.23900182,50
"234",22076,1,0,"no",1,2,-0.92216357,0.4423718,66.66666667
"235",22080,0,0,"no",14,1,-2.079557297,0.941763647,0
"236",22087,0,0,"no",1,1,-1.404410956,-1.436695824,100
"237",22096,0,0,"no",1,1,-1.411946072,0.941763647,0
"238",22101,2,1,"yes",0,1,0.064936548,0.941763647,0
"239",22108,1,0,"no",1,1,-0.417310838,0.941763647,0
"240",22112,0,0,"no",0,1,-1.419481187,0.941763647,0
"241",22136,1,0,"no",15,2,-1.427016303,0.624353575,25
"242",22144,0,0,"no",1,1,-0.947782963,0.941763647,0
"243",22165,0,0,"no",0,2,-0.837770278,0.795049658,66.66666667
"244",22166,0,0,"no",0,2,-1.472226995,0.228649019,25
"245",22167,1,0,"yes",0,2,-0.372100145,0.596844702,25
"246",22175,0,0,"no",16,2,-0.840784324,0.315407772,50
"247",22230,0,0,"no",0,2,-1.398382864,0.56087156,50
"248",22388,1,0,"no",1,1,-0.949289986,-2.520122203,100
"249",22457,0,0,"no",0,2,-0.887502039,0.835960289,50
"250",22458,0,0,"no",0,2,-0.28619983,-2.101140908,100
"251",22509,0,0,"no",1,1,-1.145202986,0.941763647,0
"252",22519,0,0,"no",1,2,-1.255215671,-0.454840669,100
"253",22541,0,1,"yes",0,1,-0.925177616,0.941763647,0
"254",22543,0,0,"yes",0,2,-0.899558224,0.539710889,25
"255",22593,0,0,"no",15,1,-2.047909812,0.941763647,0
"256",23072,0,0,"no",0,2,-1.458663787,-0.564876161,50
"257",23370,0,0,"no",19,1,-1.992149958,-0.03162724,100
"258",23532,0,1,"yes",0,1,-0.418817861,-2.105373042,100
