"squirrel_id","percent_return","observations","ALR","LRS","LBS","litter_id","litter_size","year","field_bdate","n1_date","tag_date","grid","locx","locy","ln","food","father_id","mother_byear","mother_bcert","maternal_grandma_id","mom_dates","mom_datee","dam_age","julian","mom_longevity.x","litter_fit","ARS","std_ls","std_ARS","mean_growthRate","yrf","std_growth","std_julian","std_litter_fit","average_latency","mast_encounter","mast_encounter1","mom_longevity.y","exp","scaled_lat","scaled_long"
8297,100,2,2,2,12,3853,3,2007,"6/16/07","7/2/07","7/11/07","KL","1.5",3.5,1,0,10176,2006,"Y",10137,"3/31/06","5/26/08",1,167,786,1,1,-0.583347104,0.983050847,0.759259259,2007,-2.871617873,1.778122101,0.983050847,234.5,0,"no",786,0,-0.628358175,-0.953811055
8330,50,1,2,3,23,3572,2,2006,"3/31/06","4/8/06","5/1/06","KL","10",11,1,0,8574,2005,"Y",NA,"7/17/05","8/13/08",1,90,1123,0,0,-2.376635378,0,2.606521739,2006,1.405401455,-0.09047643,0,420,0,"no",1123,0,0.941763647,-0.445944276
8385,0,1,0,0,6,4173,3,2008,"4/30/08","4/30/08","5/25/08","KL","13",14,1,0,8745,2007,"Y",8330,"5/3/07","5/29/08",1,121,392,0,0,-0.397904673,0,1.868,2008,0.360355259,0.459758245,0,420,0,"no",392,0,0.941763647,-1.547578149
8572,100,2,2,2,18,3573,3,2006,"4/2/06","4/16/06","4/27/06","KL","-6",3,1,0,NA,2005,"Y",NA,"7/31/05","8/15/08",1,92,1111,0,0,-0.822681477,0,1.909090909,2006,-0.41415714,0.022067422,0,179.5,0,"no",1111,0,-1.093892947,-0.464028553
8576,100,1,3,11,40,3280,4,2005,"5/22/05","5/23/05",NA,"KL","5",11,1,0,NA,2004,"Y",6072,"5/3/04","8/15/08",1,142,1565,0,2,0.094206426,1.140350877,NA,2005,NA,-0.694666164,0,120,1,"yes",1565,0,-1.597516927,0.220159926
8592,100,1,3,0,8,4177,4,2008,"4/14/08","4/15/08",NA,"KL","-6",12,1,0,NA,2005,"Y",6392,"5/24/05","9/2/08",3,105,1197,0,0,1.377362329,0,NA,2008,NA,-0.745483708,0,355,0,"no",1197,0,0.391586189,-0.334424568
8648,66.66666667,3,2,2,13,3576,3,2006,"3/31/06","4/5/06","4/30/06","KL","12",17,1,0,NA,2005,"Y",NA,"7/26/05","8/15/08",1,90,1116,0,0,-0.822681477,0,NA,2006,NA,-0.09047643,0,191.3333333,0,"no",1116,0,-0.993732435,-0.456493438
8680,100,1,0,0,6,4181,3,2008,"4/30/08","4/30/08","5/26/08","KL","2",7.5,1,0,10178,2006,"N",NA,"7/5/07","8/15/08",2,121,407,0,0,-0.397904673,0,1.388461538,2008,-1.569190973,0.459758245,0,9,0,"no",407,0,-2.53705074,-1.524972803
8727,0,1,3,8,37,3282,4,2005,"6/9/05","6/11/05","7/19/05","KL","-1",10,1,0,NA,2004,"Y",6055,"5/14/04","10/8/08",1,160,1608,4,4,0.094206426,2.280701754,1.144736842,2005,-1.097727458,-0.118241049,2.921348315,420,1,"yes",1608,0,0.941763647,0.284961918
8732,100,1,0,0,2,4183,2,2008,"4/26/08","4/26/08","5/21/08","KL","-7",11,1,0,10274,2006,"N",NA,"7/5/07","10/8/08",2,117,461,0,0,-2.173171674,0,1.45,2008,-1.321575159,0.158447757,0,32,0,"no",461,0,-2.342372562,-1.443593556
8733,100,2,2,0,13,3861,2,2007,"6/11/07","6/14/07","7/9/07","KL","3",13,1,0,NA,2005,"Y",6956,"7/11/05","10/9/08",2,162,1186,0,0,-1.608623832,0,1.518,2007,-0.838034203,1.483124727,0,222.5,0,"no",1186,NA,-0.729929398,-0.351001822
10131,0,1,2,6,18,3580,3,2006,"4/30/06","5/15/06","5/27/06","KL","16",1,1,0,7201,2005,"Y",6391,"5/31/05","4/9/09",1,120,1409,0,0,-0.822681477,0,2.116666667,2006,0.127396571,1.59768135,0,420,0,"no",1409,0,0.941763647,-0.014935675
10133,50,2,4,10,19,3662,2,2006,"4/9/06","4/23/06","5/10/06","SU","2",1,1,0,7249,2005,"Y",7307,"5/31/05","8/15/09",1,99,1537,0,0,-1.300052304,0,2.855882353,2006,1.38846261,-0.032460662,0,252.5,0,"no",1537,0,-0.476001341,0.177963279
10137,25,1,4,3,20,3581,3,2006,"3/31/06","4/4/06","5/1/06","KL","-3",5,1,0,8729,2005,"Y",6617,"6/11/05","7/9/09",1,90,1489,1,1,-0.822681477,1.342105263,2.47037037,2006,1.050190038,-0.09047643,1.342105263,420,0,"no",1489,0,0.941763647,0.105626171
10140,0,1,3,5,23,3582,2,2006,"3/21/06","3/22/06","4/21/06","KL","8",10,1,0,NA,2005,"Y",7609,"7/4/05","8/15/09",1,80,1503,0,0,-2.376635378,0,2.389986092,2006,0.840471886,-0.65319569,0,420,0,"no",1503,0,0.941763647,0.126724494
10145,66.66666667,3,3,4,18,3866,3,2007,"5/2/07","5/27/07","5/27/07","KL","7",20.5,2,0,10161,2005,"N",NA,"4/25/06","6/24/09",2,122,1156,2,2,-0.583347104,1.966101695,NA,2007,NA,-0.876854263,1.966101695,251.6666667,0,"no",1156,0,-0.483054898,-0.396212515
10160,100,2,4,8,18,3969,4,2007,"6/5/07","6/14/07","7/5/07","SU","10.5",10.5,1,0,NA,2005,"Y",7643,"5/26/05","4/18/10",2,156,1788,4,4,0.934164739,3.849056604,1.008333333,2007,-1.488262776,-0.005995959,4,308,0,"no",1788,0,-0.006234434,0.556226073
