"","X.3","X.2","X.1","X","squirrel_id","grid_year","yearn","mid","locx","locy","litter","nest","n_pups","date","julian_date","year","t_return","return_lat","t_move","m_return","observer","nest_type","cones_counts","mustelid_tracks","LRS","mom_age","predator","month","scaled_lat","males","dist","age_sq","average_growth","scaled_pups","m_return_numeric","percent_return","observations","litter_id","julian_part","grid","locY","locX","local.density","scaled_julian_date","scaled_density","ARS"
"1",1,422,422,422,24431,"KL_2022",2022,"-513",-5,13,1,2,4,"7/16/22",NA,"mast",NA,420,NA,"n","DUMMY",NA,0.119047619,305,NA,3,"high predator",7,0.735397158,0,NA,9,NA,NA,0,0,1,9983,162,NA,13,-5,0,0.968940862,-0.327094606,3
"2",2,9,9,9,12082,"AG_2016",2016,"A18",1,18,1,1,2,"3/20/16",80,"nonmast",NA,420,NA,"n","CFH","bucket",0,32,3,6,"low predator",3,0.735397158,0,NA,36,NA,-1.11755565,0,0,1,6935,74,"AG",18,1,0,-1.822521916,-0.478456974,0
"3",3,17,17,17,20182,"AG_2016",2016,"B14.",2,14.5,1,2,3,"4/30/16",121,"nonmast",NA,420,NA,"n","ERS","bucket",0,19,3,3,"low predator",4,0.735397158,0,0.3,9,NA,0.169326614,0,66.66666667,3,7035,96,"AG",14.5,2,0,-1.124656221,-0.478456974,1
"4",4,60,60,60,19275,"AG_2016",2016,"F16",6,16,1,1,3,"3/20/16",80,"nonmast",NA,420,NA,"n","CFH","grass",0,19,3,5,"low predator",3,0.735397158,0,0,25,NA,0.169326614,0,50,2,6933,165,"AG",16,6,0,1.064104366,-0.478456974,0
"5",5,99,99,99,20051,"AG_2016",2016,"B.0.",2.5,0.5,1,2,4,"5/21/16",142,"nonmast",NA,420,NA,"n","BMT",NA,0,32,0,2,"low predator",5,0.735397158,1.318443316,5.532630477,4,NA,1.456208877,0,0,4,6542,110,"AG",0.5,2.5,3.201933766,-0.68055987,1.682964041,0
"6",6,100,100,100,20051,"AG_2016",2016,"B.0.",2.5,0.5,1,1,4,"4/20/16",111,"nonmast",NA,420,NA,"n","DWI",NA,0,32,0,2,"low predator",4,0.735397158,0,5.532630477,4,NA,1.456208877,0,0,4,6542,110,"AG",0.5,2.5,0,-0.68055987,-0.478456974,0
"7",7,108,108,108,20863,"AG_2016",2016,"H2.",8,2.5,1,2,3,"4/17/16",108,"nonmast",NA,420,NA,"n","FVK",NA,0,19,2,3,"low predator",4,0.735397158,0,0.509901951,9,NA,0.169326614,0,50,4,7000,83,"AG",2.5,8,0,-1.537031404,-0.478456974,0
"8",8,171,171,171,12269,"AG_2016",2016,"K18.",11,18.5,1,2,3,"5/16/16",137,"nonmast",NA,420,NA,"n","SBS","grass",0,32,2,4,"low predator",5,0.735397158,2.260188541,0.223606798,16,NA,0.169326614,0,50,2,6449,111,"AG",18.5,11,4.143678992,-0.648838702,2.318676105,1
"9",9,177,177,177,11737,"AG_2016",2016,"F.8.",6.5,8.5,1,2,4,"4/27/16",118,"nonmast",NA,420,NA,"n","CFH","grass",0,19,14,7,"low predator",4,0.735397158,0,4.916299421,49,NA,1.456208877,0,75,4,7027,92,"AG",8.5,6.5,0,-1.251540893,-0.478456974,1
"10",10,235,235,235,13267,"AG_2016",2016,"I.21.",9.5,21.5,1,2,3,"4/18/16",109,"nonmast",NA,420,NA,"n","FVK",NA,0,32,0,4,"low predator",4,0.735397158,0,4.7,16,NA,0.169326614,0,50,2,7001,84,"AG",21.5,9.5,0,-1.505310236,-0.478456974,0
"11",11,262,262,262,20166,"AG_2016",2016,"P2",16,2,1,2,3,"5/7/16",128,"nonmast",NA,420,NA,"n","FVK","wb",0,32,1,2,"low predator",5,0.735397158,2.071839496,0,4,NA,0.169326614,0,0,2,6550,103,"AG",2,16,4.143678992,-0.902608046,2.318676105,1
"12",12,263,263,263,20166,"AG_2016",2016,"P2",16,2,1,1,3,"4/12/16",103,"nonmast",NA,420,NA,"n","STT","bucket",0,32,1,2,"low predator",4,0.735397158,0,0,4,NA,0.169326614,0,0,2,6550,103,"AG",2,16,0,-0.902608046,-0.478456974,1
"13",13,294,294,294,12837,"AG_2016",2016,"R1",18,1,1,1,3,"4/2/16",93,"nonmast",NA,420,NA,"n","ERS","grass",0,32,3,4,"low predator",4,0.735397158,0,0.360555128,16,NA,0.169326614,0,50,2,7028,92,"AG",1,18,0,-1.251540893,-0.478456974,1
"14",14,309,309,309,13023,"AG_2016",2016,"S8.",19,8.5,1,2,2,"4/20/16",111,"nonmast",NA,420,NA,"n","CFH","grass",0,19,6,6,"low predator",4,0.735397158,0,0.223606798,36,NA,-1.11755565,0,50,4,7018,86,"AG",8.5,19,0,-1.4418679,-0.478456974,1
"15",15,324,324,324,13215,"AG_2016",2016,"T18.",20,18.5,1,2,3,"4/20/16",111,"nonmast",NA,420,NA,"n","AEW","wb",0,32,7,5,"low predator",4,0.735397158,0,0,25,NA,0.169326614,0,50,2,7019,86,"AG",18.5,20,0,-1.4418679,-0.478456974,1
"16",16,564,564,564,12939,"AG_2016",2016,"F0",6,0,1,2,2,"5/3/16",124,"nonmast",300,300,NA,"y","JST","grass",0,32,1,4,"low predator",5,-0.144448568,1.318443316,0,16,NA,-1.11755565,1,100,3,6939,98,"AG",0,6,2.448537586,-1.061213885,1.174394391,0
"17",17,589,589,589,20863,"AG_2016",2016,"H2.",8,2.5,1,1,3,"3/24/16",84,"nonmast",300,300,483,"y","SMK","grass",0,32,2,2,"low predator",3,-0.144448568,0,0.509901951,4,NA,0.169326614,1,50,4,7000,83,"AG",2.5,8,0,-1.537031404,-0.478456974,0
"18",18,629,629,629,19334,"AG_2016",2016,"J9",10,9,1,1,3,"3/31/16",91,"nonmast",240,240,NA,"y","SBS","bucket",0,32,2,3,"low predator",3,-0.58437143,0,0.141421356,9,NA,0.169326614,1,100,3,7026,91,"AG",9,10,0,-1.283262061,-0.478456974,0
"19",19,642,642,642,12269,"AG_2016",2016,"K18.",11,18.5,1,1,3,"4/21/16",112,"nonmast",NA,NA,NA,"y","JGR, CFH, AEW","grass",0,32,2,4,"low predator",4,NA,0,0.223606798,16,NA,0.169326614,1,50,2,6449,111,"AG",18.5,11,0,-0.648838702,-0.478456974,1
"20",20,654,654,654,11737,"AG_2016",2016,"F.8.",6.5,8.5,1,1,4,"4/2/16",93,"nonmast",NA,NA,NA,"y","CFH","bucket",0,32,14,6,"low predator",4,NA,0,4.916299421,36,NA,1.456208877,1,75,4,7027,92,"AG",8.5,6.5,0,-1.251540893,-0.478456974,1
"21",21,667,667,667,19925,"AG_2016",2016,"G.8.",7.5,8.5,1,2,3,"4/22/16",113,"nonmast",263,263,295,"y","SBS","wb",0,32,0,2,"low predator",4,-0.415734333,0,4.909175083,4,NA,0.169326614,1,100,2,7024,87,"AG",8.5,7.5,0,-1.410146732,-0.478456974,0
